text,score,T20_type,team,label
"If you have just tuned in, don't mistake this for a shortened game. Pakistan, right from the word go, were never short on intent; Usman Khan - playing his second game - wreaked havoc with the ball and inflicted insurmountable pressure on the Sri Lankan batting line-up in the opening burst, recording his maiden fifer in international cricket while at it. All that in the space of 6.3 overs. From that point, there was no room for recovery. Thisara Perera's 25 stood out in what seemed like an atrocious and apalling scorecard. A defeat that should scare the devil out of their system. For Pakistan, it was just a walk in the park. A sweet revenge after being cleanswept in the Test series.",Pakistan won by 9 wkts, ODI,Pakistan vs Sri Lanka,3
"Another comprehensive performance from Pakistan. They've continued right where the left off from the ODI series. Their bowlers, all six of them, were among the wickets this evening to bundle Sri Lanka out for 102. And that was the game right there. There was a bit of a flutter early on with a couple of quick wickets. But the arrival of Shoaib Malik, who looked in absolutely brilliant touch, made it a cruise for the hosts. ",Pakistan won by 7 wkts, T20,Pakistan vs Sri Lanka,2
"Yet another one-sided affair. Everything went right for the hosts from the toss. Faf had no hesitations to bat on a belter and the batsmen took full advantage of it. The openers set the perfect foundation with a brisk century stand. Bangladesh, in the form of Mehidy Hasan, picked two quick wickets and that was the only moment in this match where Bangladesh found an opening. But, Bangladesh allowed their opponents to settle. du Plessis and Markran shared a century stand for the third wicket. Just when the South African skipper was approaching towards a ton, a lower back injury forced him to leave the field. Bangladesh were at their best with the ball in the final ten overs, but enough damage was done as the Proteas ended up posting their highest-ever ODI total versus Bangladesh.",South Africa won by 200 runs, ODI,South Africa vs Bangladesh,3
"If you weren't very excited going into this series, you should be now. New Zealand have created history at the Wankhede, largely without breaking a sweat (I say that metaphorically). They've done it through two extraordinary batting performances. When Tom Latham and Ross Taylor came together, the scenario was looking pretty grim for the visitors after losing three wickets in pretty much no time. But they didn't let the situation get to them. They rotated strike early, never allowed the spinners to dominate, and got the boundaries at timely intervals. India knew they were just one wicket away from getting into the inexperienced lower-order, but that wicket never came, not until the match was almost done.",New Zealand won by 6 wkts, ODI,India vs New Zealand,4
"What a thrilling game of cricket, and what a fitting finish to this series! A game which New Zealand will look back on as a missed opportunity to register a historic series win in India. They had it with Latham and Nicholls going strong, as deep as the 46th over mark. Especially with Latham looking in other-wordly touch. But lo and behold, Jasprit Bumrah, India's best bowler all evening, came back and bowled a couple of spectacular overs at the death. The pressure he exerted was enough for New Zealand to descend into panic, causing them to blow a golden opportunity. Almost making it a habit to pull off these cliffhangers in India's favour. Excellent yorker bowling.",India won by 6 runs, ODI,India vs New Zealand,5
"There are ways to reverse a 12-match losing streak, and then there is this. Hand India an absolute drubbing, with 176 balls and an entire sunset session going waste. Smiles, hugs, high fives in the Lankan dressing room..oh you've been missed. 113 was never going to be threatening, they did give the Indians a sniff, but Tharanga, his luck, and his edges sealed it. And Dickwella came in to have some fun. But that's only the icing. The real choclate in the cake came in the form of Lakmal's 10-4-13-4. Also India's desperation to seek practice sessions out of international games with batsmen of dodgy techniques.",Sri Lanka won by 7 wkts, ODI,India vs Sri Lanka,2
"Gosh, don't put down this win to just Sri Lanka's ineptitude. Yes, Indian bowlers had 180 odd runs to defend but they also had buckets of dew to contend with. Against two wristspinners bowling this late at Cuttack, Sri Lanka had equal stakes in the game, something that India's spinners chipped away with refreshing display of flight and spin, defying the dew like it never arrived. Rohit Sharma took his time between the overs, wiping the ball, and thus dictating the pace of the game. Undakat got the bowling off to a great start, flummoxing Sri Lanka with his cutters and the spin-twins, Chahal and Kuldeep, followed up beautifully. Six wickets between them, and that twinned with Dhoni-Pandey partnership towards the end sunk Sri Lanka.",India won by 93 runs, T20,India vs Sri Lanka,2
"Fair play to Kusal Perera for going after it, but come on, Sri Lanka were never in this. And then they collapsed dramatically, losing 8 wickets in 25 balls with India's wrist-spinners exacting their retribution for all the punishment suffered at the hands of Perera. With this win, India have now sealed the T20I series with a 2-0 lead. It was pretty much sealed at the halfway mark. Oh this was bad, even for Sri Lanka - after all their sufferings on this tour. Whatever soul they had left coming into Indore, Rohit Sharma destroyed it as he equalled the fastest T20I hundred.",India won by 88 runs, T20,India vs Sri Lanka,2
"A very convincing win for the Kiwis in the end. With the pitch easing out considerably as the game progressed, 248 was never going to be enough for the WI and that's what transpired. The new-look opening pair of Worker (stroked a fifty) and Munro did the damage upfront with a century stand in quick time to virtually kill the chase. Although both fell in successive overs, the middle order had no real pressure and they knocked off the runs rather easily despite losing a few more wickets along the way. Williamson got a start while Taylor was there till the end to see his side through. Debutant Astle made his dream debut more wonderful with a couple of power hits. For the Windies, debutant Beaton was the only impressive bowler while the others found their radar too late in the game to make any impact.",New Zealand won by 5 wkts, ODI,New Zealand vs Windies,3
"There's nothing Windies can take out of it. They have been outplayed in the series. Today was their best chance though. Rain never allowed New Zealand to gain the momentum and a curtailed match almost made it a T20 fixture, something which the Caribbeans love to be part of. However, it was a nightmarish start for them. Gayle went in the first over and it led to a procession that just did not stop. At one stage, they were 9/5 but Holder held one end and saved the blushes. Misery is over, at last.","New Zealand won by 66 runs (DLS method, reduced to 23 overs per side due to rain, target 166)", ODI,New Zealand vs Windies,2
"Not a win for Windies on this tour. Two Tests, 3 ODIs and 3 T20Is have fallen short of warming them up. Today's been another hammering. Started with Munro and Guptill racking up a 136-run stand and continued into the second innings, when Southee struck twice in his opening over accounting for the openers, Gayle being one of them. Andre Fletcher was the only player who looked like taking Windies close but Ish Sodhi set him up beautifully. And from there, all felt like a formality, much like this tour has",New Zealand won by 119 runs, T20,New Zealand vs Windies,2
"So Ireland equalise and in style. Having posted a decent enough total on this track, they never allowed the Afghans to get going. While the wickets were intact for a fair bit of time, the required run-rate kept going up, eventually sucking the Afghans into playing some nothing shots. Credit must be given to Irish fielders as well; they cut down on easy singles and maintained the pressure. After being outplayed in the first game, this is the kind of performance one would have expected from Ireland who now will have the momentum going into the final ODI two days from now.",Ireland won by 51 runs, ODI,Afghanistan vs Ireland,3
"After an absolute drag in the first half, we were treated to some mindful and serene batting from Ireland. Paul Stirling took it upon himself to anchor this chase with a calm head on his shoulders; stitching a pivotal 62-run stand with Balbirnie for the second wicket and thereby, blocking Afghanistan's hopes of a comeback. The stocky right-hander went gung-ho against Shapoor Zadran who ended up conceding 71 - nearly 40 percent of the target - off the 7 overs he bowled. The momentum Ireland gathered in the last game certainly worked wonders and they now have clinched their maiden bilateral series win against Afghanistan.",Ireland won by 5 wkts, ODI,Afghanistan vs Ireland,3
"That's a comprehensive win for West Indies to begin this tour after losing both their warm-up matches to India A. Smith gave a strong start, and that stand between Samuels and Ramdin took them past 300. India were definitely capable of chasing that, but some tight bowling from Rampaul, and disciplined lines from medium-pacers put India in trouble at 114 for 5. Samuels also got two wickets and whatever Ambrose said in the team huddle during the innings break seems to have worked",West Indies won by 124 runs, ODI,India vs Windies,3
"So Sri Lanka have fallen apart in this massive chase of 364. Their openers were troubled a lot by all three pacers - Umesh, Aaron and Ishant. Making a comeback, Ishant bowled beautifully to remove Dilshan and Sanga. Their hopes rested on Jayawardene then as he found gaps regularly before the spinners struck and removed him too. Akshar Patel was very economical to give India their second biggest win against Sri Lanka.",India won by 169 runs, ODI,India vs Sri Lanka,3
"Hasan Khan had struck with his first ball and struck with what turned out to be the last ball of the match. And resultingly, Quetta Gladiators have defended a total that looked severly below par, especially when McCullum and Roy walked out to open. And at 34/0 inside the third over, you could have sensed an easy chase, until Babar struck to send Roy back. Left-arm spinners then took over, sharing six wickets between them to conspire a mid-innings collapse from 34/0 to 77/6. Grant Elliott was dropped on 7 by Shehzad, but he was undone by Mohammad Nawaz on 30 on a slow, sluggish track - a moment that turned out to be defining.",Quetta Gladiators won by 8 runs,T20,Lahore Qalandars vs Quetta Gladiators,4
"Playing two matches within 24 hours is never easy, but it does give you a chance to redeem. Peshawar Zalmi lost after posting 190 odd last night, and have managed to win this with relative ease. They had lost two wickets inside two overs, with Sohail and Amir generating theatrical swing and seam. Malan and Morgan fought through that, then through tight uber-spells from Abrar Ahmed and Imad Wasim, and managed to forge a stand that kept Peshawar afloat. Morgan found his groove progressively, stroking 80 off 57 through Malik's expensive spell of 0/41 to take his side home with 9 balls to spare.",Peshawar Zalmi won by 7 wkts,T20,Karachi Kings vs Peshawar Zalmi,3
"What an incredible performance from the Southern Stars. They recovered from a sluggish start and posted a good total on the board. And later during their bowling, after New Zealand had got to a good start, managed to regroup and choke the run-flow. Regular wickets ensured that the White Ferns' innings never took the pace and in the end it seemed all too easy for the hosts.",Australia Women won by 40 runs, T20,Australia Women vs New Zealand Women,3
The Southern Stars' nightmare comes to an end. The chase started off with a run-out and ended with a run-out. In between was some very poor strokeplay from the Australian batters. They lost half their side with the score reading just nine. The seamers Tahuhu and Huddleston were brilliant with the new ball picking up two wickets each. Then the White Ferns' spinners never allowed their opposition to get back into the game. A 47-run win is a mammoth victory in T20s.,New Zealand Women won by 47 runs, T20,Australia Women vs New Zealand Women,3
"Felt like an easy win but it's been achieved in the last over. Quetta Gladiators win two in two, and Karachi Kings lose two in two. 159 always looked 20 runs short and so it proved to be. Despite two wickets by Sohail Khan in the third over, Rilee Rossouw rallied on, stitching a 130-run stand with Sarfraz off 90 balls. Karachi needed more wickets upfront but Sohail Khan's the only one who struck in the match for them.",Quetta Gladiators won by 7 wkts,T20,Quetta Gladiators vs Karachi Kings,3
"This has been surreal. You expected an easy chase with the target being 60. Not to be. McCullum was audacious with his captaincy, employing two slips, two gullies and even a short leg at times, phenomenally inspiring his bowlers, so much so that Yasir Shah finished with figures of 4-0-7-4. Peshawar started looking completely incapacitated to score a run in the Narine-wrecked powerplay - ending it at 20/2 - and then the wickets started to tumble even more so. There were times when you thought McCullum could pull off a heist, especially after Morgan's wicket was a sheer slice of luck, but the total just wasn't enough. In hindsight, a total of 100 would have been match-winning.",Peshawar Zalmi won by 3 wkts,T20,Peshawar Zalmi vs Lahore Qalandars,3
"A chase that ebbed and flowed. Cameron Delport picked five boundaries off an Asghar over to kick-start the chase the McCullum-way. He was caught and bowled by Hasan Ali and that triggered a stunning collapse. Five wickets were lost in 11 balls for just 1 run. From 38/0 to 39/5 in an eye-blink. Then a Hafeez delivery spun the other way, taking out Rizwan too and all looked lost. Yamin and Narine put up a quick-fire 45-run stand for the seventh wicket but the run-rate kept creeping up, despite their heroics, gradually shoving Lahore to the brink of a loss.",Peshawar Zalmi won by 17 runs,T20,Peshawar Zalmi vs Lahore Qalandars,2
"T20 cricket and its tricks. You just have to give it for the format. Today seemed to be a day destined for panic attacks. What a day of cricket we've had. Quetta were cruising after KP and Shehzad engineered a near match-winning 139-run stand for the second wicket, but some illogical tactics from Quetta twinned with some terrific bowling from Islamabad United meant the latter pulled off a heart-stopper. There's no room for complacency. Not in cricket, not in life. Period!",Islamabad United won by 1 run,T20,Quetta Gladiators vs Islamabad United,4
"What a great match. And that's what context does. Karachi had a lot riding on this win - a loss would have shoved them out of the tournament but Pollard's 20-ball 45 has managed to assuage the embarrassment off three panic-ridden run-outs in the innings. McCullum used as many as eight bowlers, including himself but Pollard was plain unstoppable in the end. 28 was nneded off the last 2 overs and they get their off the last over. Only few things in life are more dramatic. Pollard's innings couldn't be more different to Babar Azam's, which was about timing and placement, but both twinned together to really give it their all for Karachi. What a game, again.",Karachi Kings won by 5 wkts,T20,Lahore Qalandars vs Karachi Kings,4
"Wasim Akram and Deano are all pumped up. Misbah has a big grin on his face. In the first game more than 400 runs were scored, a total of 200 was chased down with an over to spare and here we are witnessing a nail-biting bonzer of a contest. Chasing 137, Islamabad United found their way to break out of the jail. Credit to fast bowlers from both sides, who made this encounter lively. Barring Smith, there was only one batsman who touched 30. Watto it was. Smith too struggled, but once he found his touch, there was no stopping. Just when they seemed cruising, Wahab Riaz and Hasan Ali bowled their hearts out to make it an edge-of-the-seat encounter. But to defend 6 off the final over is too hard a task",Islamabad United won by 5 wkts,T20,Islamabad United vs Peshawar Zalmi,4
"How did Peshawar Zalmi lose this? Hafeez and Malan put on 139 for the third wicket, which happens to be the highest ever in PSL. Tymal Mills was going through one of this bad spells, spraying deliveries down leg to add to his team's miseries. All looked done and dusted until Nawaz had Hafeez caught in the deep. Malan followed suit eight balls later, falling to Mills, but then Afridi exploded. 35 off only 13 balls that saw one boundary and four big - really big! - sixes. Just 8 off 7 balls were needed then, a win still looked imminent, when Nawaz was handed the ball, much to everyone's surprise. Three wickets fell in the last over. Sammy denied a single first ball, a catch fell short of Mills off the second, an inside-edge off the third. 2 off 3 needed. Then two wickets off two balls. 2 off 1 needed. A super over is possible. Definitely. But guess what, it was another run-out, driven by panic. And thus, another match was lost to nerves.",Quetta Gladiators won by 1 run, T20,Peshawar Zalmi vs Quetta Gladiators,5
"This was expected to be a stroll in the park for Islamabad United as it was for them in the previous edition. It wasn't this time around. Chasing a below-par score of 127, Islamabad didn't get off to an auspicious start. They lost the recently retired Dwayne Smith and Haddin to Amir in the third over and didn't quite recover from there. There was a mini partnership between Misbah and Asif Ali for the third wicket. Once that was broken by Imad Wasim, it was all one-way traffic. The spin duo of Wasim and Usama Mir squeezed the flow of runs picking up regular wickets, and their combined figures of 6/42 proved to be the difference. Amir and Sohail came back to wrap up the tail. ",Karachi Kings won by 44 runs, T20,Islamabad United vs Karachi Kings,2
"Darren Sammy's force take off. They sprint across the circumference to acknowledge the support from this housefull crowd. Karachi Kings, who lost 4 wickets inside 9 overs, were always behind the eight ball. The run rate kept mounting as Gayle struggled to find rhythm. Once Pollard came out to the middle, Gayle found his mojo and that was the only phase where Kings threatened to dominate. Wahab Riaz dismissed both at crucial junctures of the game making Imad Wasim's cameo negligible. Kamran Akmal's sparkling ton was well backed up by the Zalmi's bowlers. Wahab Riaz and Chris Jordan, in particular who bagged 3 wickets apiece",Peshawar Zalmi won by 24 runs, T20,Peshawar Zalmi vs Karachi Kings,3
"When 4 of your top 6 batsmen get out without reaching double digits, you don't deserve to win. Not a final at least. Peshawar Zalmi's strength has been bowling all throughout the season and this win will stand as a testimony for why they have been crowned champions. The pitch got a little better for bowling in the second half, but when you lose half the side inside 8 overs, it's tough to make a comeback. Also Quetta had 4 new foreign players which didn't help their cause. Apart from Sarfraz and Sean Ervine no-one got going, surrendering meekly with 21 balls to spare. Wasn't a fitting final, but cricket won, Pakistan cricket won and all THAT build-up leading into the game came out trumps. Hang on for the most important moments of the season.",Peshawar Zalmi won by 58 runs,T20,Quetta Gladiators vs Peshawar Zalmi,2
"Before we get into anything else, just take a moment to applaud the death bowling from Sunrisers Hyderabad. Bhuvi was absolutely brilliant there to kill the game off towards the end along with Nehra. To be fair, RCB were a long way off and needed 69 with only five overs left. But the Indian pace duo absolutely shut the door on them. Rashid Khan bowled well on IPL debut too, picking up two crucial wickets as well. Chasing 208, RCB had got off to a decent start through Gayle and Mandeep, but neither of those two could kick on. In fact, all of their top five batsmen scored over 20 but just couldn't get that substantial score to win the game. All in all, a solid showing from the defending champions.",Sunrisers Hyderabad won by 35 runs, T20,Sunrisers Hyderabad vs Royal Challengers Bangalore,3
"There was always an inevitability to the game. Pune were always going to get home if Smith stayed the course. Bumrah's penultimate over threatened to reverse that script. He left Pollard with 13 in the bank. Nerves would have certainly jangled as the final over began with just 3 singles. However, how dare anybody ever doubt what the Aussie, and now, Pune skipper can do. With 10 needed in 3 balls, Smith clobbered a couple of sixes to seal the win. They should have got home much earlier after a flying start from Rahane and his partnership with Smith which set the game up beautifully. Stokes chipped in with a useful cameo in the middle too. Mumbai fought back after that but Smith stood firmly in the way. They weren't getting one over him tonight.",Rising Pune Supergiant won by 7 wkts, T20,Rising Pune Supergiant vs Mumbai Indians,3
"A royal shellacking for the Gujarat Lions! My word, did we see a show tonight?! Lynn and Gambhir made a complete mockery of the total of 183 and chased it down with 31 balls to spare. Theirs is the highest partnership for KKR in the IPL. What a masterstroke to send Lynn at the top of the order. He sent shockwaves through the bowling attack in the powerplay and Gujarat didn't have it in them to recover. Even Gambhir. You'd think that with all the carnage at the other end, Gambhir would have gone under the radar. But the KKR skipper completely held his own and got himself going with some stunning shots. Gujarat clearly lack quality in that bowling attack. Apart from Praveen Kumar, who is a class apart, there's absolutely no one the skipper can rely upon when the going gets tough. Some serious thinking to be done as to what combination they field from now on..",Kolkata Knight Riders won by 10 wkts, T20,Gujarat Lions vs Kolkata Knight Riders,3
"What a game we've had here in Bangalore. RCB appeared to be short by 20-25 runs at the halfway stage but their bowlers stepped it up tonight. What stood out was that they looked for wickets right through. The quicks were intense, the spinners were aggressive and DD just kept faltering along the way. You've got to feel for Rishabh Pant who fought so valiantly out there and was waging a lone battle in the second half of that chase. He's certainly one to watch out for. Chahal and Watson were brilliant under pressure though. The scoreboard clearly reflects how Delhi's middle order completely buckled when subjected to the cauldron of the Chinnaswamy. Only four DD players managed to get into double digits. Their batting depth had evoked a lot of concern going into this campaign and this result highlighted it further.",Royal Challengers Bangalore won by 15 runs, T20,Royal Challengers Bangalore vs Delhi Daredevils,4
"Nitish Rana and Hardik Pandya have pulled off a coup at the Wankhede. Mumbai looked to be gone after Pollard was dismissed and they still had to get 49 from 3 overs. But a scintillating fifty from Nitish Rana followed by a blinding cameo from Hardik Pandya has scripted the improbable. KKR will look back at those fielding errors in the final over. They couldn't have timed those errors any worse. Things could have been so different. But take nothing away from what we've witnessed here tonight. A special, special victory from out of nowhere.",Mumbai Indians won by 4 wkts,T20,Mumbai Indians vs Kolkata Knight Riders,4
"So, where did it go wrong for RCB? Watson won toss and opted to bat, lost 3 wickets inside the powerplay. If not for ABD, they would have been left embarrassing with a paltry total. He came out, stayed ahead of the game, and ensured he was there till the end. Scored 89 off 46, and the rest 55 off 74. I think that's where the game was lost. Striking under 100 in T20s is almost an unacceptable crime. RCB did commit and paid hefty. The chase wasn't a typical hustle-bustle approach from KXIP. Not until Maxi came and forced things. The ever-reliable Amla struck a fifty to make things more memorable.",Kings XI Punjab won by 8 wkts,T20,Kings XI Punjab vs Royal Challengers Bangalore,3
"This is Mumbai's yard, the Wankhede. They have one of the better home records in IPL cricket, and this performance goes on to show why. Sunrisers have now lost all three matches they've played here. Right from the top-down, they never got going. Warner and Dhawan may have put up a fifty-run opening stand but Mumbai still maintained good control and never let things slip. That pressure manifested in SRH's collapse from 105/1 to 158/8. A target of 159 was never going to be enough at this venue, especially with the dew. Rashid and Bhuvneshwar stood out once more but a few good cameos from Parthiv, Krunal and Rana is all it took for Mumbai to cruise home.",Mumbai Indians won by 4 wkts,T20,Mumbai Indians vs Sunrisers Hyderabad,3
"The owners are happy and so are the players. It's been a thrilling night of cricket. After Andrew James TYE-D RPS with a hat-trick, and an eventual fifer, it was always tough to plot a comeback. They were off to a blazing start, but Smith's untimely wicket exposed the vulnerability in the middle order. Tiwary and Ankit slogged a few, but against the likes of B-MAC, Smith and Finch it was never going to be enough. As Steven Smith reckons in the post-match presentation they ""were 20 runs short."" RPS revamped their bowling line-up for this game, but there's no change in fortunes. Their bowlers were left clueless with GL batsmen going crash-bang-wallop from ball one...",Gujarat Lions won by 7 wkts,T20,Gujarat Lions vs Rising Pune Supergiant,4
"During the innings break, Uthappa mentioned that the pitch would play better batting second. That, however, didn't seem to be the case though as SRH struggled to find boundaries in the first 6 overs. Things didn't improve much after the powerplay either. They seemed okay with Warner and Dhawan showing some willingness to engineer a solid foundation at the top. But, once the spinners arrived, they were tied down with some terrific accuracy which led to the stem of run-flow, inserting extra pressure on the batsmen to follow. Yuvi did exhibit a glitter of his class, but it didn't last long. Overall, they lost by 17 runs on a track where Uthappa scored 68 off 39. Just saying. Period!",Kolkata Knight Riders won by 17 runs,T20,Kolkata Knight Riders vs Sunrisers Hyderabad,3
"A comprehensive win for Zaheer and his lads. Once Corey Anderson produced the big finish to take DD to 188, KXIP were always up against it. It was a score which has never been chased down here, right through the history of IPL. Punjab needed a good start with the bat. But Shahbaz Nadeem ensured that the visitors were always playing catch up as he struck in consecutive overs in powerplay. Morgan looked good but he found the fielder at the wrong time. Miller struggled right through and the rate shot up beyond 12 even before Maxi came to the crease. It was too much pressure against a quality attack. The deal was sealed when Mishra dismissed the Punjab skipper for a duck. Axar Patel played a good little knock towards the end but it was always going to be in a losing cause.",Delhi Daredevils won by 51 runs,T20,Delhi Daredevils vs Kings XI Punjab,3
"Absolutely brilliant performance from the RPS bowlers. They read the conditions beautifully and found a method to strangle the opposition. The ploy was to bowl slower back of length deliveries right into the pitch and the RCB batsmen just couldn't find a counter to it. The home side had initially got off to a decent start against the new ball which was coming on much better. That's where a lot of credit must go to Tahir for changing the course of the game and building pressure with a brilliant spell which included the wicket of AB de Villiers. Stokes chipped in with timely wickets of Kohli and Watson. And Unadkat and Thakur, who might have been the major worries going into this, stepped up magnificently at the death on a pitch which was slowing rapidly.",Rising Pune Supergiant won by 27 runs,T20,Royal Challengers Bangalore vs Rising Pune Supergiant,3
"Bloody hell, what a game! Manan Vohra played the knock of his life to turn the game around just when it seemed buried and nearly pulled off a single-handed heist. But after playing a magical innings and with the finish line within sight, he faltered off a low full toss. To say that he didn't deserve to be on the losing side would be an understatement. On the flip side, Bhuvneshwar Kumar definitely deserved to be on the winning side. The execution under pressure from the medium pacer, who is racking up the wickets in this IPL, was phenomenal. It really came down to Bhuvneshwar vs Vohra in that penultimate over, and that's where the battle was decided.",Sunrisers Hyderabad won by 5 runs,T20,Sunrisers Hyderabad vs Kings XI Punjab,5
"RCB win, finally. And away from home, coming on the back of three consecutive defeats, and do so on a day when AB de Villiers succumbed to his perennial back injury, yet again. The game was set by a high first innings score. Gayle went berserk at the top, Kohli played the nurdler, and then Kedar took over. A 16-ball 38 that took the score past 200, and perhaps the game beyond Gujarat, despite McCullum keeping them alive for most parts of this chase. Raina was all grace, but had a stint too short win a game. Ishan Kishan's 39 off 16 seemed delayed by all that was ahead of him, and this innings screamed for a rank higher up the order. Next game maybe, Ishan. Maybe. There's a long waiting line in front, remember?",Royal Challengers Bangalore won by 21 runs,T20,Gujarat Lions vs Royal Challengers Bangalore,4
"DD were in a comfortable position at the end of 9 overs. What followed was quite dramatic. An over from Yuvraj Singh turned things around in SRH's favour, but the chase never seemed out of reach. Shreyas Iyer was striking it at 160ks and all he needed was an able ally at the other end. Guess that's what went missing tonight. Also, the execution of death bowling from Sunrisers was terrific. Siddarth Kaul, the hero a couple of nights ago, yet again justified Warner's decision and held his nerve to complete the formalities.",Sunrisers Hyderabad won by 15 runs,T20,Sunrisers Hyderabad vs Delhi Daredevils,3
"Gujarat were off to a flier from Finch and McCullum. But that rain interruption at the five-over mark threatened to derail their run-chase completely as KKR started off really strong after the resumption. That's when Raina stepped up to the plate. Despite wickets tumbling around him, the Gujarat skipper played a magnificent knock to propel his team to the door of victory. He steered the chase almost single-handedly during that middle period, getting boundaries at regular intervals to ease the pressure of the run-rate. He finally found some support from Jadeja and their partnership sealed the game for the visitors. The bowlers for KKR, who are usually really good at home, had an off-day with most of them, barring Kuldeep Yadav, taking a beating.",Gujarat Lions won by 4 wkts,T20,Kolkata Knight Riders vs Gujarat Lions,4
"There's a reason why they say that great players can never be written off. MS Dhoni's painful struggles in this IPL have caused a lot of concern, but when it came down to it, the champion batsman turned it on in style. It's not for nothing that he's known as one of the best finishers in our game. He took some time to find his stride, but when he went into overdrive, even SRH's best bowler in Bhuvneshwar had no answers. At one stage, around the 16th over mark, it looked as if Dhoni had left it too late. But it's never too late with Dhoni. We've seen it all these years. We should have seen it coming today too. What a fantastic knock.",Rising Pune Supergiant won by 6 wkts,T20,Rising Pune Supergiant vs Sunrisers Hyderabad,4
"It started on a shaky note for Gujarat when McCullum missed a full toss. Raina and Finch had done well to steady the ship for a while when the storm struck. Cariappa's two in two in the middle of the chase almost shut the doors on the hosts. From 95/3 to 102/6, it all happened too quickly. So quickly that Dinesh Karthik never got the time to think his strategies. Punjab's death bowling had been a concern so far in the tournament but today things were a bit different. The slower balls were sent down the right line making shot-making too tough for the Gujarat batsmen. The loss means that Gujarat continue to be the bottom dwellers in the table.",Kings XI Punjab won by 26 runs,T20,Gujarat Lions vs Kings XI Punjab,3
